"","KO","baseMean","LFC","lfcSE","stat","pval","padj","gene_names","bnum"
"14816_ydiB_1","K05887",88.6258927896408,-2.64222780562601,0.563686248694094,-2.91337212754543,0.00357548239233043,0.0160607844624968,"ydiB","b1692"
"14826_ppsA_1","K01007",3700.17668142273,-4.5659144128511,0.589566179416675,-6.04837003435181,1.46318585846231e-09,1.91669686799618e-08,"ppsA","b1702"
"14841_infC","K02520",40477.2057880347,1.53855555024892,0.11312199268452,4.76083860855308,1.92790177519974e-06,1.53618160558909e-05,"infC","b1718"
"14846_pfkB","K00850",696.938896807289,-1.86839869111674,0.283180300139333,-3.0665928763034,0.00216513532985357,0.0103184163719879,"pfkB","b3916"
"14856_hypothetical_protein","K03478",93.4513719504483,-1.54108682938227,0.197705139674311,-2.73683744526637,0.0062032937331728,0.0262172988520243,"hypothetical","b1733"
"14872_xthA","K01142",744.30908704418,1.52077682681026,0.185954763199018,2.80055653241264,0.00510145711160337,0.0220066305055718,"xthA","b1749"
"14897_mipA_1","K07274",3405.27419710824,2.59737815557188,0.179548090536812,8.89665911119439,5.75529307555337e-19,3.51213250610599e-17,"mipA","b3584"
"14898_PrkA_AAA_domain_protein","K07180",1102.40530511309,-3.88467717928876,0.357008079168016,-8.08014537377224,6.46896101756087e-16,2.49005237937497e-14,"PrkA","b1783"
"14899_hypothetical_protein","K09786",222.210926771908,-3.86363595736207,0.429829951050397,-6.66225317794644,2.69660958675019e-11,4.49794479069932e-10,"hypothetical","b1784"
"14940_rlmA","K00563",263.378945709675,1.57662242743967,0.195367063618961,2.95148228549054,0.00316252686052605,0.0143866221909749,"rlmA","b1822"
"14961_exoX","K10857",314.916836356321,-1.5311280144974,0.151549482255425,-3.50465080179044,0.000457206547793274,0.00251967132726602,"exoX","b1844"
"14969_purT","K08289",109.271430613008,1.74795872162593,0.221528867539776,3.37634877987915,0.000734547383092909,0.0039270033173044,"purT","b1849"
"15028_otsA","K00697",261.487263671011,-3.00561194746447,0.34660548583131,-5.78644028860117,7.18936259448675e-09,8.44496958281965e-08,"otsA","b1896"
"15029_otsB","K01087",155.61727644847,-2.66200847126299,0.446015413525387,-3.72634761235305,0.00019427443551729,0.00113568840575762,"otsB","b1897"
"15030_rbsC_1","K10538",167.794617441574,-3.64132064894857,0.462888120125014,-5.70617506501401,1.15543161906424e-08,1.30641389306982e-07,"rbsC","b4460"
"15031_araG","K10539",258.757840346125,-3.30726927899782,0.454795247113689,-5.0732044664949,3.9117179123096e-07,3.37486835055125e-06,"araG","b1900"
"15032_araF","K10537",239.813986691989,-3.99132430754453,0.548611741806898,-5.45253424159744,4.96570064935153e-08,4.98963173681828e-07,"araF","b1901"
"15038_tyrP","K03834",225.76336085815,1.80148805778276,0.245572842755916,3.26374874675937,0.00109948621567106,0.00562559204828015,"tyrP","b1907"
"15088_dcm","K00558",948.97951721116,1.52040495060371,0.184838245812709,2.81546142312461,0.00487072442488592,0.0210840008841948,"dcm","b1961"
"15092_hchA","K05523",1434.17704920599,-3.03676097561704,0.29777898551663,-6.83984120667001,7.92810107821227e-12,1.46934139982867e-10,"hchA","b1967"
"15100_mtfA","K09933",960.306742667761,-2.5446276021389,0.168822926322308,-9.1493947877078,5.72533941841822e-20,4.34084824996436e-18,"mtfA","b1976"
"15103_yhjE_1","K08172",1114.71437943708,-1.83669034171935,0.309158255127321,-2.70634966992804,0.0068027374530543,0.0284622894774948,"yhjE","b1981"
"15105_amn_2","K01241",1273.58860357944,-2.16946411096802,0.38520987728506,-3.03591413390108,0.00239807646637543,0.0113636123463472,"amn","b1982"
"15182_udk","K00876",820.791387251614,1.57111152537248,0.191810786672141,2.97747345329789,0.00290634812487431,0.0133425376301569,"udk","b2066"
"15196_tryptophanyl-tRNA_synthetase","K09946",551.502912325561,-3.96707744771411,0.400245263863804,-7.41314817587387,1.23335949386001e-13,3.05531233033441e-12,"tryptophanyl-tRNA","b2080"
"15199_yhbU_1","K08303",1351.99131948198,2.71206035772573,0.21742262451539,7.87434316710007,3.4253757854169e-15,1.15814732636663e-13,"yhbU","b3158"
"15229_fbaB","K01623",975.811835702385,-3.85046054499019,0.331604536280355,-8.59596366492485,8.25689277727941e-18,4.39547781462831e-16,"fbaB","b2097"
"15263_yehY","K05846",31.8720746506506,-1.83982645534451,0.323009903474428,-2.60000218665431,0.00932231664508987,0.0378029760875444,"yehY","b2130"
"15264_osmF","K05845",107.847502227535,-2.15981197610173,0.346847506658738,-3.34386712845212,0.000826192973276726,0.00437570389793221,"osmF","b2131"
"15266_dld","K03777",1069.05693787397,-1.42299505360612,0.153671793162874,-2.7525874781574,0.00591263476217921,0.0251588642431503,"dld","b2133"
"15273_hypothetical_protein","K06518",379.424706324771,2.8977588550908,0.384429648649145,4.93655695329269,7.95138245281612e-07,6.63145296564865e-06,"hypothetical","b2141"
"15281_mglA_1","K10542",1068.57875693789,-4.46760189014459,0.493267371416479,-7.02986268924891,2.0673688731008e-12,4.10462125278739e-11,"mglA","b2149"
"15282_mglB","K10540",2791.28894664837,-4.93207650715306,0.523997306783025,-7.50400136842925,6.18986574750345e-14,1.68337435872322e-12,"mglB","b2150"
"15285_folE","K01495",2404.7861234035,-1.72844967157756,0.230593654202305,-3.15901872537428,0.00158301318914682,0.00783446796758707,"folE","b2153"
"15286_yeiG","K03929",293.629817542123,-2.01891755206453,0.191465575478718,-5.32167492520233,1.02816179309733e-07,9.63468466790085e-07,"yeiG","b2154"
"15288_lysP","K11733",1170.61978166708,1.7116374794974,0.222434713814513,3.19930943913201,0.00137757223239977,0.00687961222647551,"lysP","b2156"
"15293_nupX","K03317",1183.91302455312,-4.77512948063805,0.579266545586618,-6.51708528552259,7.16866719209412e-11,1.12805064871821e-09,"nupX","b2161"
"15294_rihB","K10213",247.021174529004,-4.13099338520349,0.606263419373147,-5.16441085698493,2.41197388438515e-07,2.16450194315444e-06,"rihB","b2162"
"15299_fruA_1","K02770",1214.7086718142,2.99426974192957,0.279339297744738,7.13923804502417,9.38496854296428e-13,1.98873743969794e-11,"fruA","b2167"
"15301_fruB","K11183",253.595982968436,4.20651466261909,0.32888265130575,9.74972273511051,1.84972772036223e-22,2.10364488924832e-20,"fruB","b2169"
"15305_por_1","K00040",6356.55389818541,-3.5807612381685,0.360627773340595,-7.15630195162784,8.28824762315692e-13,1.78768927182229e-11,"por","b4323"
"15318_rplY","K02897",4097.12115607259,2.34972207064662,0.212982780200866,6.33723566465645,2.33924056298698e-10,3.42267829742305e-09,"rplY","b2185"
"15333_napB","K02568",84.5017558485744,-2.25758707215088,0.400133526021007,-3.14291852686411,0.00167272391337369,0.0082223089022809,"napB","b2203"
"15362_glpQ","K01126",943.104686394352,-3.10385380476186,0.36873326472491,-5.70562519313636,1.15916820248401e-08,1.30641389306982e-07,"glpQ","b3449"
"15365_glpB","K00112",76.3008326527746,-2.87646950152175,0.573708371265848,-3.27077239152262,0.00107254195587741,0.00551026688625314,"glpB","b2242"
"15366_glpC","K00113",136.096223037767,-3.55669218698941,0.55962182609524,-4.56860699095445,4.90976424514504e-06,3.64517214876941e-05,"glpC","b2243"
"15374_arnC","K10012",111.014657914011,-2.01456700558055,0.317763905047186,-3.19283275874235,0.00140884516314359,0.00702177409997062,"arnC","b2254"
"15377_arnT","K07264",115.527852278502,-2.21083537499454,0.311015227367893,-3.89317071463601,9.89424732403184e-05,0.000600859388464263,"arnT","b2257"
"15387_hypothetical_protein","K05594",572.304098049307,-3.50546147617759,0.359857712113696,-6.96236704630078,3.34602333010406e-12,6.4897289704809e-11,"hypothetical","b2266"
"15410_hypothetical_protein","K09161",1017.66452010289,-1.43947816753639,0.166958942722106,-2.63225293818422,0.0084820688803388,0.0345637399651591,"hypothetical","b2294"
"15424_hisQ","K10016",583.693659571154,-1.70508239674988,0.200929333748599,-3.50910632905435,0.000449615117314143,0.00248879872460174,"hisQ","b2308"
"15461_fadL","K06076",1319.67431747514,2.67002620812262,0.286740870902408,5.82416522230282,5.73987707230979e-09,6.83865354043766e-08,"fadL","b2344"
"15520_dsdA_2","K01753",508.284848114889,-2.43189796693872,0.465719921252201,-3.07459033122035,0.00210791877110601,0.0100649098574566,"dsdA","b2366"
"15550_gltX","K01885",6006.45516683798,1.49837968524041,0.11879560759107,4.19527030793916,2.72546358274454e-05,0.00017945026010597,"gltX","b2400"
"15586_eutC","K03736",27.9885058193032,-1.95687509912271,0.254392112126035,-3.76141811601704,0.000168952732836568,0.000996980513106353,"eutC","b2440"
"15595_eutD","K04020",28.6847415031749,-1.73385366052017,0.249479140169034,-2.94154316879139,0.00326581319455147,0.0147758853757103,"eutD","b2458"
"15601_tal_1","K00616",230.876126998756,-2.94417979962271,0.437719425487147,-4.44161187833735,8.92875028048095e-,0.00017945026010597,"gltX","b2400","b2464"
