"","K-statistic","P-value"
"14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase","0.96001292636392","0.003"
"14856_hypothetical_protein","1.8647181839869","0.001"
"14879_fbpC2","0.782402630630001","0.003"
"14886_topB","1.25801390682768","0.004"
"14900_yeaI","0.749151608109113","0.002"
"14905_yeaN","0.569224191565269","0.009"
"14927_hypothetical_protein","1.09698057554723","0.001"
"14944_kdgR_1","1.02005911825305","0.001"
"14972_zwf","0.897193271113834","0.001"
"14981_ruvB","0.706322761489565","0.002"
"14983_hypothetical_protein","1.32248650614747","0.001"
"15142_hisD","0.650331136906192","0.008"
"15176_wzc","2.01021959949592","0.002"
"15177_wzb","1.01607335478118","0.002"
"15223_gatD","1.4821284402466","0.001"
"15245_hypothetical_protein","0.846961118041538","0.001"
"15278_preT","0.794859101813565","0.002"
"15290_hypothetical_protein","0.57251075946631","0.006"
"15291_nfo","1.8682059405081","0.001"
"15293_nupX","0.841276896897432","0.006"
"15294_rihB","1.94008874060229","0.001"
"15297_psuG","1.85436112046726","0.001"
"15298_psuK_2","2.34400846443984","0.002"
"15302_setB","0.748503122831021","0.004"
"15353_hypothetical_protein","0.818690582537736","0.001"
"15365_glpB","1.47599576473163","0.001"
"15366_glpC","0.937742930818091","0.003"
"15370_YfaZ_precursor","1.02101182231693","0.002"
"15430_cell_division_protein_DedD","0.78493780059284","0.005"
"15431_folC","0.698269104378709","0.006"
"15451_mrpA_1","0.604701732049718","0.007"
"15452_prsF","1.11161176254158","0.002"
"15453_hypothetical_protein","1.10999543894575","0.002"
"15520_dsdA_2","0.781326732659342","0.005"
"15532_htrB_1","0.699939111458284","0.006"
"15562_ptsH","0.568106776730907","0.007"
"15572_fabG_2","0.817574659151494","0.001"
"15574_murQ","0.624218320810294","0.009"
"15580_ypeA","0.726249783063933","0.005"
"15640_arsC_1","0.624592937146943","0.007"
"15653_guaA","0.780516206423579","0.003"
"15661_ispG","0.676340741620136","0.004"
"15665_pbpF","0.724877992634853","0.008"
"15735_yfiH","1.14679296248403","0.002"
"15759_smpB","1.12327916841306","0.001"
"15804_srlA","0.690426672041105","0.004"
"15805_srlE","0.819337248161029","0.001"
"15806_PTS_system_glucitol-sorbitol-specific_transporter_subunit_IIA","0.789309505405542","0.002"
"15808_DNA-binding_transcriptional_activator_GutM","0.838992301394098","0.004"
"15809_srlR_2","0.774194388397331","0.003"
"15810_gutQ","0.816642373138622","0.002"
"15863_small_toxic_polypeptide","0.899360322790198","0.003"
"15866_cysJ_1","1.17841022430363","0.001"
"15904_fucP","0.647942630340606","0.007"
"15905_fucI","1.14067563591657","0.001"
"15906_fucK","0.887097906150034","0.004"
"15908_glpR_1","1.50222137061071","0.001"
"15922_ptrA","1.2096474333343","0.002"
"15923_recC","0.733903628694616","0.003"
"15939_galR","0.627814064785494","0.008"
"16007_mocA","2.52721845113778","0.001"
"16012_xanQ","0.601047484739912","0.005"
"16031_bglA_1","1.22748497226418","0.002"
"16066_mtlA_1","0.700168012621073","0.008"
"16067_cmtB","1.059420576369","0.001"
"16097_hypothetical_protein","1.54729539119568","0.003"
"16174_tolC","1.55938838339932","0.001"
"16181_Membrane_fusogenic_activity","1.11508364409161","0.002"
"16187_yqiJ","0.656317825950293","0.006"
"16189_hldE","1.56543339263297","0.001"
"16191_CYTH_domain_protein","1.2283328362206","0.002"
"16252_tdcE","0.806974121784319","0.004"
"16254_tdcC","0.746367155987779","0.004"
"16263_garD","0.867493794487474","0.001"
"16286_diaA","0.697524387213113","0.002"
"16294_SCP-2_sterol_transfer_family_protein","0.961235562268434","0.002"
"16303_truB","0.632439373590508","0.008"
"16305_infB","0.999830869731287","0.002"
"16313_ftsH","0.667852864652125","0.009"
"16334_kdsC","0.591728023103295","0.008"
"16336_lptA","1.01993393141708","0.001"
"16337_lptB_1","0.942231085482125","0.002"
"16357_lutR_1","1.19172042723185","0.003"
"16359_sspB","0.797599790872056","0.005"
"16401_glnQ_1","0.843647325791436","0.001"
"16422_rpmJ","0.685886477178337","0.002"
"16424_rplO","0.863406260125744","0.001"
"16425_rpmD","0.959259926670852","0.002"
"16426_rpsE","0.821433983508821","0.003"
"16428_rplF","0.658901548556884","0.005"
"16434_rpsQ","1.04397472357249","0.001"
"16435_rpmC","0.811696166705233","0.004"
"16436_rplP","1.02950096445371","0.002"
"16437_rpsC","1.08647083753825","0.001"
"16438_rplV","0.894356555231263","0.002"
"16439_rpsS","0.885651849560497","0.002"
"16449_fusA","0.744666112932637","0.006"
"16456_fkpA","0.754702172587037","0.004"
"16478_cysG","0.88314209991355","0.001"
"16489_gph","0.955565160829911","0.002"
"16490_rpe_1","0.702717648519025","0.002"
"16500_hypothetical_protein","0.738533957283131","0.005"
"16556_ugpQ","0.659407416325761","0.004"
"16591_yhhJ","1.79165822511735","0.001"
"16623_hypothetical_protein","0.742122639161754","0.004"
"16645_hypothetical_protein","1.12884422156046","0.002"
"16654_oppF_1","0.922904185569293","0.001"
"16671_ghrB","0.981475098910019","0.001"
"16679_yiaA","0.711927645840434","0.009"
"16683_xylF","0.692904626306364","0.009"
"16684_xylG","0.859048200336142","0.003"
"16686_xylR","1.0720341759889","0.002"
"16707_adhB","0.610751500276778","0.004"
"16730_molybdopterin_biosynthesis_protein_MoeB","0.802214555034817","0.004"
"16763_hypothetical_protein","0.857928578584115","0.002"
"16784_nepI","1.42860988830221","0.002"
"16830_tnaA","0.617065775502935","0.004"
"16831_tnaB","0.778148039304507","0.002"
"16858_atpC","1.29279319951723","0.001"
"16859_atpD","1.72416245219961","0.001"
"16860_atpG","1.19831164729641","0.006"
"16861_atpA","1.16264252988692","0.001"
"16873_ravA","0.885560700924596","0.004"
"16899_rhlB","0.739444132227851","0.005"
"16901_hypothetical_protein","0.748535674894974","0.005"
"16909_rmlA2","0.950786143432114","0.002"
"16912_Polysaccharide_biosynthesis_protein","1.89789339856443","0.001"
"16942_lysophospholipase_L2","0.75086151319285","0.002"
"16950_ubiE","0.604757092869722","0.007"
"16968_hypothetical_protein","2.59984046146893","0.001"
"16974_polA","0.856208259965972","0.002"
"16978_hypothetical_protein","1.12646747277045","0.002"
"17038_uspD","0.761626127735617","0.005"
"17039_fpr","1.23710068699439","0.002"
"17040_glpX","0.600497717541435","0.007"
"17065_gldA_1","0.833508377964314","0.003"
"17066_fsaB","1.17807308066632","0.005"
"17082_oxyR_1","0.928486017906494","0.003"
"17085_yijD","0.637234338267138","0.007"
"17088_murI","1.1145384723053","0.001"
"17109_nudC","0.897727918559243","0.005"
"17110_hemE","0.795206587055062","0.001"
"17127_iclR","0.654828874294984","0.007"
"17130_pepE","0.597984935369263","0.008"
"17141_hypothetical_protein","1.56850358524149","0.001"
"17158_lexA_1","0.746797089407937","0.004"
"17166_dnaB","0.694379292576906","0.005"
"17175_hypothetical_protein","0.824155174803077","0.002"
"17193_Sel1_repeat_protein","1.5287177011069","0.001"
"17205_phnN","0.660650926507778","0.004"
"17213_phnF","0.838869327368136","0.001"
"17238_Acetyltransferase_-GNAT-_family_protein","0.706322039950572","0.006"
"17278_tsaE","0.754798882899137","0.001"
"17280_mutL","1.06819502795323","0.001"
"17285_hflC","0.596907737166064","0.006"
"17290_rlmB_2","0.752078270223375","0.005"
"17368_Acetyltransferase_-GNAT-_family_protein","0.90570898065058","0.005"
"17374_lptG_2","0.784637572131999","0.004"
"17464_fldC","0.740914686451239","0.002"
"17487_ttuB","2.19252654306717","0.002"
"17498_yjjM","1.58264165829795","0.001"
"17499_yjjN","2.14465980633293","0.001"
"17550_yjjX","1.19970253279908","0.002"
"17557_arcA","0.880428355235238","0.002"
"17567_yaaH","0.673819513833598","0.004"
"17568_hypothetical_protein","1.44452250739842","0.001"
"17573_nhaA","0.869913977318192","0.001"
"17587_rihC","0.962405020386657","0.002"
"17596_caiB","0.735182250885855","0.002"
"17602_hypothetical_protein","0.638981505293755","0.006"
"17610_pdxA","0.775278802533858","0.004"
"17617_araD","0.747272680942321","0.003"
"17642_murF","0.677233993958946","0.004"
"17669_aceE","0.849729773004805","0.001"
"17670_aceF","0.691302042963251","0.009"
"17703_hrpB_1","0.863428071382079","0.003"
"17704_mrcB","0.920566504553977","0.001"
"17718_hypothetical_protein","0.681228302168934","0.006"
"17723_tsf","0.82774556069438","0.004"
"17730_rseP","0.787991574420432","0.005"
"17731_bamA","0.925147714261789","0.002"
"17757_dkgB","1.14788758899308","0.001"
"17763_hypothetical_protein","0.76114148259799","0.002"
"17792_flhA_2","1.08990999009066","0.003"
"17886_ytbE","1.18552863623485","0.001"
"17906_allS_3","1.91487232236754","0.001"
"17913_atzC","0.746303914102131","0.001"
"17919_yahK","0.890853028028472","0.001"
"17937_lacI","0.850237200176709","0.001"
"17969_adrA","0.808509547756279","0.003"
"17974_hypothetical_protein","1.17157273344425","0.001"
"17992_hypothetical_protein","0.665592259257811","0.008"
"18026_hupB","0.686928668131936","0.005"
"18029_fadM","0.970502069068458","0.001"
"18034_yheI","0.665749916871076","0.003"
"18038_tesB","1.0646477128071","0.001"
"18092_allA","0.679825535249438","0.009"
"18101_hypothetical_protein","0.758335732719272","0.003"
"18152_fepD","0.693490624857541","0.008"
"18164_noc_2","1.30443946671996","0.001"
"18169_ahpF","0.638761436604819","0.009"
"18250_kdpA","0.804509661080877","0.001"
"18292_translocation_protein_TolB","0.754123847450445","0.002"
"18294_tol-pal_system_protein_YbgF","0.776595333534822","0.008"
"18362_ompX","0.64020739342008","0.005"
"18380_gsiB","0.755852121864053","0.008"
"18437_trxB","0.783030272756241","0.001"
"18473_mukB","0.998532305296762","0.002"
"18477_aspC","0.761946749387857","0.002"
"18486_ssuE","0.776103515403172","0.005"
"18500_pqiB_2","0.864055430143418","0.002"
"18501_hypothetical_protein","1.07668211584748","0.002"
"18539_GnsA-GnsB_family_protein","0.669187046009817","0.007"
"18540_yccM_2","0.874185862785752","0.003"
"18550_agp","0.868652750391194","0.003"
"18639_acpP","0.950747385411966","0.001"
"18650_lpoB","0.644221313666359","0.008"
"18709_fadR","0.863760471109595","0.004"
"18736_hypothetical_protein","0.641142322947791","0.005"
"18737_hypothetical_protein","1.31816768757932","0.001"
"18765_hypothetical_protein","0.7436750119864","0.005"
"18772_oppF_2","0.668417539995156","0.006"
"18866_abgA","0.927509657021669","0.003"
"18879_ldhA","1.36643625062955","0.001"
"18901_ydbC","0.897530135280149","0.001"
"18922_tehA","0.617934784237133","0.008"
"18923_tehB_2","0.672720152108392","0.008"
"18941_hypothetical_protein","0.867648358257084","0.003"
"19026_yedQ_2","1.02067559366334","0.001"
"19129_Aminodeoxyfutalosine_deaminase","1.18587940162103","0.001"
"19161_grxD","1.02059990097185","0.001"
"19162_mepH","0.871384984003953","0.002"
"19173_ydhR","0.853806274669322","0.002"
"19177_ydhX_2","0.574125114869837","0.007"
