"","log2FoldChange","symbol","bnum"
"17267_frdA",-2.55811000512312,"frdA","b4154"
"15810_gutQ",-2.56840051611922,"gutQ","b2708"
"18781_ompW",-2.56886325704266,"ompW","b1256"
"17165_qorA",-2.56934257436067,"qor","b4051"
"18963_flr",-2.57974942852094,"yddH","b1462"
"16541_glgB",-2.58196659548347,"glgB","b3432"
"16042_serA",-2.58916696655642,"serA","b2913"
"17753_metQ",-2.59663533937088,"metQ","b3661"
"15221_yegS",-2.6022583588236,"yegS","b2086"
"17975_hypothetical_protein",-2.61555883603878,"yaiE","b0391"
"15782_Putative_NrdI-like_protein",-2.62188830015259,"nrdI","b2674"
"16096_ansB",-2.62504474968709,"ansB","b2957"
"14816_ydiB_1",-2.64222780562601,"ydiB","b1692"
"18305_galE",-2.64246808243873,"galE","b0759"
"17150_maltose_regulon_periplasmic_protein",-2.6430928737114,"malM","b4037"
"18877_hypothetical_protein",-2.64512319910865,"ydbJ","b1316"
"17065_gldA_1",-2.65764281171718,"gldA","b3945"
"15029_otsB",-2.66200847126299,"otsB","b1897"
"18205_hypothetical_protein",-2.66243068594955,"ybeL","b0643"
"16237_hypothetical_protein",-2.66781051442181,"yqjC","b1316"
"16367_mdh_2",-2.67686146569317,"mdh","b3236"
"17080_rspA_1",-2.70853782358088,"rspA","b1581"
"14813_hypothetical_protein",-2.71197515897187,"ydiL","b1316"
"16696_yiaO_1",-2.71255129708125,"yiaO","b3579"
"18179_citE",-2.71708503807692,"citE","b0616"
"16615_putative_Mg-2+-_transport_ATPase",-2.73107779409234,"yhiD","b3508"
"17634_ilvH",-2.73188669624893,"ilvH","b3670"
"17366_argI",-2.76607231258919,"argI","b4254"
"17755_metN",-2.76662035056166,"metN","b0199"
"15767_carbon_starvation_induced_protein",-2.77861017269356,"ygaT","b0126"
"17266_frdB",-2.79321571576214,"frdB","b4153"
"18718_hypothetical_protein",-2.7956541632004,"ymgE","b1195"
"18547_cbpM",-2.79579128496856,"cbpM","b0999"
"18181_citC",-2.79895820829067,"citC","b0618"
"17123_aceB",-2.8039840156758,"aceB","b4014"
"17618_araA",-2.80791175500783,"araA","b0062"
"16515_feoC",-2.81019631196951,"yhgG","b3410"
"17237_hypothetical_protein",-2.81036599960713,"yjdI","b1316"
"15912_ygdR_1",-2.81993569398596,"ygdI","b2809"
"17184_acs",-2.82098986388745,"acs","b4069"
"18306_ylmA",-2.83747657889014,"modF","b0760"
"16035_gcvT",-2.8393132475157,"gcvT","b2905"
"16892_ilvA",-2.84212226819157,"ilvA","b3772"
"15244_putative_fimbrial_protein",-2.84275087592884,"yehD","b0005"
"17968_psiF",-2.84573676146143,"psiF","b0384"
"16034_gcvH",-2.86337799001695,"gcvH","b2904"
"16238_hypothetical_protein",-2.86681982711955,"yqjD","b1316"
"15365_glpB",-2.87646950152175,"glpB","b2242"
"16680_yiaB",-2.88358423621221,"yiaB","b3563"
"18175_citT",-2.89470574301922,"citT","b0612"
"15768_lhgO",-2.90224264406455,"ygaF","b2660"
"15391_hypothetical_protein",-2.90441004573844,"yfbM","b1316"
"17238_Acetyltransferase_-GNAT-_family_protein",-2.90826702622919,"yjdJ","b4127"
"16700_sgbE",-2.92562772981652,"sgbE","b3583"
"18039_hypothetical_protein",-2.92601213358459,"ybaY","b0453"
"15808_DNA-binding_transcriptional_activator_GutM",-2.92920905704535,"gutM","b2706"
"17265_frdC",-2.9307133282936,"frdC","b4152"
"17042_glpF",-2.93400393596885,"glpF","b3927"
"17632_leuO",-2.94122962507196,"leuO","b0076"
"15601_tal_1",-2.94417979962271,"talA","b2464"
"15738_raiA",-2.94774369237971,"yfiA","b2597"
"15268_yohC",-2.96534802766997,"yohC","b2135"
"17617_araD",-2.97325205954191,"araD","b0061"
"16666_lip-1",-2.97825322146272,"yhjY","b3548"
"17299_bsmA",-2.9887697844558,"yjfO","b4189"
"16879_rbsB",-2.99504392850866,"rbsB","b3751"
"18304_galT",-3.00396832463242,"galT","b0758"
"15028_otsA",-3.00561194746447,"otsA","b1896"
"17124_aceA",-3.01771940207704,"aceA","b4015"
"18410_artJ",-3.01860065243295,"artJ","b0860"
"17078_argB",-3.01943980468415,"argB","b3959"
"17077_argC",-3.02801606372033,"argC","b3958"
"15092_hchA",-3.03676097561704,"hchA","b1967"
"17343_ytfQ",-3.04037123890802,"ytfQ","b4227"
"18611_mdtH",-3.05191365220229,"mdtH","b1065"
"18176_citG",-3.05615876143459,"citG","b0613"
"18374_fsaA",-3.0570085765884,"fsaA","b0825"
"18901_ydbC",-3.06379966315203,"ydbC","b1406"
"16308_argG",-3.07362406870573,"argG","b3172"
"15946_thlA",-3.08599975694625,"yqeF","b2844"
"16538_glgA",-3.09000901161751,"glgA","b3429"
"16686_xylR",-3.09918876361972,"xylR","b3753"
"15362_glpQ",-3.10385380476186,"glpQ","b3449"
"16619_gadE",-3.10951380716578,"gadE","b3512"
"17041_glpK",-3.16362219794921,"glpK","b3926"
"16600_uspA",-3.16827171833957,"uspA","b3495"
"18271_gltA",-3.18019247845793,"gltA","b0720"
"18936_ydcU",-3.18226808048909,"ydcU","b1442"
"15245_hypothetical_protein",-3.20039909083381,"yehE","b1316"
"15725_grcA",-3.20838993781936,"yfiD","b2579"
"16699_ulaE_1",-3.21839371252974,"sgbU","b3582"
"16209_patA",-3.21966240520241,"ygjG","b3073"
"18586_curli_assembly_protein_CsgE",-3.23960884408932,"csgE","b1039"
"16150_metC",-3.2427674807503,"metC","b3008"
"16239_yqjE",-3.25547141008636,"yqjE","b3099"
"18170_uspG",-3.27486994261642,"ybdQ","b0607"
"16878_rbsC_3",-3.29611290310342,"rbsC","b3750"
"15806_PTS_system_glucitol-sorbitol-specific_transporter_subunit_IIA",-3.30303830746187,"srlB","b2704"
"14848_Fructosamine_kinase",-3.30438111531643,"yniA","b1725"
"15031_araG",-3.30726927899782,"araG","b1900"
"16890_ilvE",-3.3187383836394,"ilvE","b3770"
"17919_yahK",-3.32480976625679,"yahK","b0325"
"18338_hypothetical_protein",-3.39450945113511,"ybhP","b0790"
"17059_metB",-3.40566437126093,"metB","b3939"
"17262_blc",-3.4156361567934,"blc","b4149"
"17060_metL",-3.41825873087952,"metL","b4024"
"18303_galK",-3.42614600784618,"galK","b0757"
"19123_uidA",-3.44395981700066,"uidA","b1617"
"15027_uspC",-3.44606467766972,"yecG","b1895"
"16889_ilvM",-3.45403722709803,"ilvM","b3769"
"18589_csgA",-3.47859077898934,"csgA","b1042"
"18298_hypothetical_protein",-3.48553812507585,"ybgS","b0753"
"18983_osmC",-3.48663396683346,"osmC","b1482"
"16210_ygjH",-3.49227840197967,"ygjH","b3074"
"16947_clcD_2",-3.49804033747153,"ysgA","b3830"
"15387_hypothetical_protein",-3.50546147617759,"elaB","b2266"
"17448_uxuA",-3.50982861989362,"uxuA","b4322"
"16618_acid-resistance_membrane_protein",-3.51223800892927,"hdeD","b1164"
"17144_malG",-3.52377569592464,"malG","b4032"
"17069_fryB_2",-3.54672262442649,"frwB","b3953"
"16693_tabA_2",-3.54747349355738,"yiaL","b3576"
"17037_hypothetical_protein",-3.54930754653054,"yiiS","b1316"
"15366_glpC",-3.55669218698941,"glpC","b2243"
"15940_lysA",-3.55791140999266,"lysA","b2838"
"16613_slp_2",-3.56181032863527,"slp","b3506"
"18373_bssD_3",-3.56490197205842,"ybiY","b3952"
"15773_LysM_domain-BON_superfamily_protein",-3.5703201241053,"ygaU","b2665"
"18598_secY-secA_suppressor_protein",-3.58072483333932,"msyB","b1051"
"15305_por_1",-3.5807612381685,"uxuB","b4323"
"18728_hypothetical_protein",-3.597543861697,"ychH","b1205"
"16212_ebgA",-3.63192695889542,"ebgA","b3076"
"18750_narK",-3.63635161644537,"narU","b1469"
"15030_rbsC_1",-3.64132064894857,"araH","b4460"
"15903_fucA_2",-3.64554422141408,"fucA","b2800"
"17146_malE",-3.65206308490124,"malE","b4034"
"18710_SpoVR_family_protein",-3.68056049379975,"ycgB","b1188"
"18550_agp",-3.74143138355192,"agp","b1002"
"16831_tnaB",-3.75576686224005,"tnaB","b3709"
"16186_glgS",-3.75679289562669,"glgS","b3049"
"16888_ilvG",-3.76679382812692,"ilvG","b3671"
"15902_fucO",-3.81554085118662,"fucO","b2799"
"17509_hypothetical_protein",-3.82160274133922,NA,"b0026"
"16616_hdeB",-3.82803261305951,"hdeB","b3509"
"15229_fbaB",-3.85046054499019,"fbaB","b2097"
"15804_srlA",-3.85571232733682,"srlA","b2703"
"14899_hypothetical_protein",-3.86363595736207,"yeaH","b1784"
"17966_iraP",-3.86490199717289,"yaiB","b0382"
"18551_hypothetical_protein",-3.87384157350218,"yccJ","b1003"
"15943_araE",-3.87435478871537,"galP","b2841"
"14898_PrkA_AAA_domain_protein",-3.88467717928876,"yeaG","b1783"
"17148_malK",-3.88573237318175,"malK","b4035"
"18177_citX",-3.90479479403146,"citX","b0614"
"18553_Stress-induced_bacterial_acidophilic_repeat_motif_protein",-3.90592457534346,"ymdF","b4518"
"18871_hypothetical_protein",-3.93163459052891,"abgA","b1316"
"15196_tryptophanyl-tRNA_synthetase",-3.96707744771411,"yegP","b2080"
"15032_araF",-3.99132430754453,"araF","b1901"
"16698_sgbH",-4.01036904082882,"sgbH","b3581"
"18587_csgD",-4.03014124350014,"csgD","b1040"
"15780_hypothetical_protein",-4.0343626430084,"ygaM","b1316"
"16945_gltR_1",-4.09520330942391,"metR","b3828"
"18180_citD",-4.09801686074516,"citD","b0617"
"17883_ykgR",-4.11771996058587,"ykgR","b4671"
"16227_uxaC",-4.12776526205482,"uxaC","b3092"
"15294_rihB",-4.13099338520349,"rihB","b2162"
"17532_hypothetical_protein",-4.14280124485619,"osmY","b4376"
"17038_uspD",-4.14905954963022,"yiiT","b3923"
"16226_uxaA",-4.15721390400794,"uxaA","b3091"
"16793_ilvB",-4.17804563147526,"ilvB","b3671"
"16817_2-keto-3-deoxy-galactonokinase",-4.18700698851738,"dgoK","b3693"
"16213_ebgC",-4.21316613058685,"ebgC","b3077"
"16814_dgoT",-4.23067507055387,"dgoT","b3691"
"17230_melA",-4.24225762742514,"melA","b4119"
"16673_putative_transcriptional_regulator",-4.24614086075233,"yiaG","b0005"
"15944_kduD_2",-4.32321275005349,"kduD","b2842"
"18874_uspF",-4.35495795259585,"ynaF","b1376"
"19025_uxaB",-4.37583839065576,"uxaB","b1521"
"17244_cadB",-4.39202050157195,"cadB","b4132"
"16894_ilvC",-4.41868462198788,"ilvC","b3774"
"16816_dgoA",-4.42434993074949,"dgoA","b4477"
"16278_nagB_1",-4.44239988748558,"agaI","b3141"
"18372_bssA",-4.45491788182439,"ybiW","b3951"
"15281_mglA_1",-4.46760189014459,"mglA","b2149"
"15945_kduI",-4.53319226496683,"kduI","b2843"
"18552_wrbA",-4.55463665121404,"wrbA","b1004"
"14826_ppsA_1",-4.5659144128511,"pps","b1702"
"16617_hdeA",-4.62177323880514,"hdeA","b3510"
"16271_manX_3",-4.62492552644673,"agaF",NA
"18386_biofilm_formation_regulatory_protein_BssR",-4.63476872032126,"bssR","b0806"
"17122_metA",-4.65187434737618,"metA","b4013"
"15805_srlE",-4.68456293818197,"srlE","b2703"
"16626_gadA",-4.68521284610467,"gadA","b3517"
"18919_hypothetical_protein",-4.70602727702623,"ydcH","b1426"
"18446_nicotinamidase-pyrazinamidase",-4.71072940013944,"ycaC","b0897"
"16684_xylG",-4.75016733697573,"xylG","b3567"
"16692_dlgD",-4.77092153490647,"yiaK","b3575"
"15293_nupX",-4.77512948063805,"yeiM","b2161"
"16792_ilvN",-4.79580583479282,"ilvN","b3670"
"15298_psuK_2",-4.86663465739348,"yeiC","b2166"
"17626_sgrT",-4.89483530912847,"sgrT","b4662"
"17629_leuC",-4.91007128941879,"leuC","b0072"
"16352_tabA_1",-4.91796094549522,"yhcH","b3221"
"18993_gadC",-4.92813170618322,"gadC","b1492"
"15282_mglB",-4.93207650715306,"mglB","b2150"
"16815_dgoD",-4.94964611431742,"dgoD","b4478"
"16277_manZ_4",-5.03044311739784,"agaD","b1819"
"16214_ygjI",-5.03873962641874,"ygjI","b3078"
"17630_leuB",-5.18211602777644,"leuB","b0073"
"17061_metF",-5.20422664421927,"metF","b3941"
"16275_manX_4",-5.33592446621511,"agaB","b3138"
"15297_psuG",-5.35923641566074,"yeiN","b2165"
"16228_exuT",-5.36917173086787,"exuT","b3093"
"18981_sra",-5.38741219042297,"rpsV","b1480"
"16356_nanA",-5.39041640781214,"nanA","b3225"
"17628_leuD",-5.41013637568732,"leuD","b0071"
"16946_metE",-5.45945381305881,"metE","b3829"
"17922_bhsA_2",-5.48503811536309,"yahO","b0329"
"18502_rmf",-5.49619626282352,"rmf","b0953"
"18430_cspD",-5.52035069455086,"cspD","b3556"
"17435_nanS",-5.52309406146067,"yjhS","b4309"
"16354_nanE",-5.65224293933023,"yhcJ","b3223"
"16683_xylF",-5.72171806314749,"xylF","b3566"
"16269_agaC_2",-5.75819056754491,"agaW","b3134"
"16270_manZ_3",-5.77637136090325,NA,"b0026"
"16268_levE_2",-5.77835452595714,"agaV","b3133"
"17936_lacZ",-6.0203585644937,"lacZ","b0344"
"16267_kbaZ",-6.37765681395627,"kbaZ","b3132"
"16830_tnaA",-6.69076281253065,"tnaA","b3708"
"16274_kbaY",-6.81877034173013,"kbaY","b3137"
"17437_nanC",-7.37742493173237,"yjhA","b4311"
"1201_rnfD_1",2.96288657096951,"rnfD","b1630"
"1202_rnfD_2",2.77124118340382,"rnfD","b1630"
"12097_hypothetical_protein",3.78744885340196,"yjaA","b1316"
"12617_yhjE_2",-3.24862559545005,"yhjE","b3523"
"12650_hypothetical_protein",3.07954222911584,NA,"b0026"
"14257_esaR",-3.58467433038569,NA,"b0026"
"14267_D-alanine--poly-phosphoribitol-_ligase_subunit_2",-3.96850575203187,NA,"b0026"
"14827_ppsR",-2.00346352430931,"ydiA","b1703"
"14840_rpmI",1.50548339547621,"rpmI","b1717"
"14847_hypothetical_protein",-2.27937402127433,"ydiZ","b1316"
"14884_gdhA",-1.98809566056226,"gdhA","b1761"
"14919_rnd",2.24962393631997,"rnd","b1804"
"14920_fadD",3.31024056288553,"fadD","b1805"
"14922_tsaB",2.42387459134296,"yeaZ","b1807"
"14952_rsmF",2.03201814280509,"yebU","b1835"
"15081_hypothetical_protein",-2.9033384169655,"yodD","b1316"
"15132_dacD",3.11467925674728,"dacD","b2010"
"15185_dnaK_1",4.05458646288669,"yegD","b0014"
"15280_mglC",-3.55816492561739,"mglC","b2148"
"15300_lacC",3.43073563036338,"fruK","b2168"
"15363_glpT",-2.49853808055191,"glpT","b2240"
"15428_purF",2.05961464031411,"purF","b2312"
"15440_mnmC",2.29926902446997,"mnmC",NA
"1547_intA_1",2.25878248795007,"int","b0006"
"1550_Putative_multidrug_export_ATP-binding-permease_protein",3.55731635252627,"ybtQ",NA
"1551_irtA",3.21426116202644,"ybtP",NA
"1552_pchR",-2.93188915223854,"ybtA",NA
"1557_srfAD",4.33390027702308,"irp",NA
"1560_hypothetical_protein",2.90458940741715,NA,"b0026"
"15689_yphA",-2.99503520546366,"yphA","b2543"
"15703_purL",2.12428749108998,"purL","b2557"
"15708_yfhL",2.93847414782057,"yfhL","b2562"
"15729_DTW_domain_protein",2.09607674676014,"yfiP","b2583"
"15785_proV",3.45782182422802,"proV","b2677"
"15807_srlD",-3.71302777459637,"srlD","b2705"
"15839_garR_1",-6.65507284624011,"ygbJ","b2736"
"15840_hypothetical_protein",-6.31736632796933,"ygbK","b1316"
"15841_fucA_1",-6.55713979209434,"ygbL","b2738"
"15842_ygbM",-6.67565161752209,"ygbM","b2739"
"15843_ygbN",-5.61866672989274,"ygbN","b4296"
"15915_tcdA",2.33709533887937,"ygdL","b2812"
"15918_argA",-2.91466903394244,"argA","b2818"
"15947_yqeG",3.57134860508744,"yqeG","b2845"
"15997_ndhF",-2.81881339909346,"xdhB","b2867"
"16106_epsM",3.64497728695567,"yghD","b3334"
"16107_epsL",4.30975517134781,"gspL","b3333"
"16203_dnaG",2.81385509363878,"dnaG","b3066"
"16216_ygjK",-3.13697763602471,"ygjK","b3080"
"16273_agaS",-5.96038637705893,"agaS","b3136"
"16276_agaC_3",-5.64323695428771,"agaC","b3139"
"16353_nanK_2",-5.66252978080023,"nanK","b3222"
"16355_nanT_1",-5.18652083784967,"nanT","b3224"
"16384_accB",2.475191608955,"accB","b3255"
"16387_panF",2.49779001274073,"panF","b3258"
"16423_preprotein_translocase_subunit_SecY",4.40816188394604,"secY","b3300"
"16427_rplR",2.46369376392357,"rplR","b3304"
"16440_rplB",2.59727833231723,"rplB","b3317"
"16466_hypothetical_protein",-1.62959574066388,"yhfA","b3356"
"16474_putative_transporter",5.1990194025781,"tsgA","b3364"
"16540_glgX",-2.1633813192355,"glgX","b3431"
"16593_emrK_2",-2.49917700203063,"yhiI","b3487"
"16606_hypothetical_protein",3.44884527306201,NA,"b0026"
"16625_gadX_1",-3.43941689963271,"gadX","b3515"
"16653_yhjV",3.08526496332777,"yhjV","b3539"
"16665_yhjX",4.25126471742799,"yhjX","b3547"
"16670_yiaD",4.12853699422966,"yiaD","b3552"
"16682_xylA_1",-4.23641890903607,"xylA","b3565"
"16685_xylH",-2.75070354780479,"xylH","b3568"
"16695_siaT_1",-3.11206949669749,"yiaN","b3578"
"16733_Divergent_polysaccharide_deacetylase",2.09922071916452,"yibQ","b3614"
"16749_waaA",2.1591489882964,"waaA","b3633"
"16751_mutM",2.05744556287423,"mutM","b3635"
"16756_coaBC",2.03863352380223,"dfp",NA
"16760_rph",2.2583753730638,"rph","b0369"
"16782_nlpA",-2.97943638237688,"nlpA","b3661"
"16818_lutR_2",-2.74445236388694,"yidW",NA
"16867_rsmG",2.36428517068292,"gidB","b3740"
"16891_ilvD_1",-2.60724212003132,"ilvD","b3771"
"16902_hypothetical_protein",3.56817936185125,NA,"b0026"
"16906_wecB_2",2.08079948067762,"rffE","b3786"
"16916_yifK",2.99223559630244,"yifK","b3795"
"16939_recQ",1.79235031274156,"recQ","b3822"
"17149_lamB",-4.14681734576818,"lamB","b4036"
"17163_dus",2.95454231060807,"yjbN","b4049"
"17259_entericidin_A",3.66460424441146,"ecnA","b4410"
"17311_priB",3.2362182913237,"priB","b4201"
"17378_gno",-3.74601750169201,"idnO","b4266"
"17379_idnD",-3.71194983953227,"idnD","b4267"
"17380_gntK_2",-3.20951749125511,"idnK","b4268"
"17436_nanM",-4.42644822621593,"yjhT","b4310"
"17442_fimC_2",2.90927538407881,"fimC","b4316"
"17447_gntP",-4.09934974720934,"gntP","b4296"
"17458_hypothetical_protein",-4.05624050686947,"yjiH","b1316"
"17631_leuA",-4.96817676738299,"leuA","b0074"
"17675_speD",1.99120180954638,"speD","b0120"
"17759_hypothetical_protein",-1.7039998723186,"yafD","b0209"
"17766_hypothetical_protein",4.38635141464507,"yafT","b0217"
"17781_2-oxoglutaramate_amidase",-2.08059270039431,"yafV","b0219"
"17871_yagU",-2.30024668308959,"yagU","b0287"
"17934_lacA_2",-4.83453109575555,"lacA","b0342"
"17935_lacY_2",-6.43430695949861,"lacY","b0343"
"17967_phoA",-1.97996430421713,"phoA","b0383"
"17987_queA",3.25661595819482,"queA","b0405"
"17999_thiL",1.97706212288422,"thiL","b0417"
"18005_thiI",2.40122983050951,"thiI","b0423"
"18065_fsr",-1.95233174770175,"fsr","b0479"
"18148_entF",-2.04112538851845,"entF","b0586"
"18162_gldA_2",-3.36930264130955,"ybdH","b0599"
"18178_citF",-2.7277148804434,"citF","b0615"
"18273_sdhC",-2.63109851335496,"sdhC","b0721"
"18320_bioA",5.37936105054026,"bioA","b0774"
"18347_dinG_3",2.89880867594021,"dinG","b1808"
"18409_rlmC",2.34765894353819,"rumB","b0859"
"18537_cspG_1",4.07958335418294,"cspF","b3556"
"18585_curli_assembly_protein_CsgF",-2.56167806863918,"csgF","b1037"
"18631_rluC",3.26137474162354,"rluC","b1086"
"18643_tmk",2.77315754491961,"tmk","b1098"
"18646_ptsG_2",4.88877199497084,"ptsG","b4577"
"18654_ndh",2.43168946397061,"ndh","b1109"
"18673_pepT",-2.16254269006436,"pepT","b1127"
"18684_ycgE_2",-1.80364784452754,"ycgE",NA
"18687_ariR",-2.53496355346873,"ymgB","b1166"
"18729_dauA",3.85290189321215,"ychM","b1206"
"18731_ispE",2.31117704211942,"ipk","b1208"
"18784_Stress-induced_bacterial_acidophilic_repeat_motif_protein",-3.88277572925606,"yciG","b1259"
"18792_rluB",3.88344245853067,"rluB","b1269"
"18813_rnb",2.19950610731544,"rnb","b1286"
"1885_atoD",-12.1416574806912,"atoD","b2221"
"1886_atoA",-10.3569023027841,"atoA","b2222"
"1887_atoE",-8.9943337088693,"atoE","b2223"
"1888_thlA_1",-8.01348489416306,"atoB","b2844"
"18935_potA_3",-2.13750081749785,"ydcT","b1441"
"18940_hypothetical_protein",2.99178669893936,"ydcX","b1316"
"18949_aroP_2",4.19440175299274,"ansP","b1453"
"18998_hypothetical_protein",-4.45222794512185,"ydeM","b1316"
"18999_betC",-3.49607219862524,"ydeN","b1498"
"19007_focC_3",2.62937681089251,"fmlB",NA
"19008_fimA_9",2.92422134079971,"fmlA","b4314"
"19121_uidC",-3.62950632078708,"uidC","b1615"
"19122_uidB",-3.12932595062964,"uidB","b1616"
"19166_purR_2",2.41522350678456,"purR","b1658"
"19630_ptsG_1",6.1193974413718,"ptsG","b4577"
"20803_hypothetical_protein",-4.14041092447086,NA,"b0026"
"23242_ppsE",3.8566907360753,"irp1",NA
"2359_mopA",-2.18355091204861,NA,"b0026"
"2513_xdhA_1",-2.86039373593007,"xdhA","b2866"
"2670_kpsM",2.73303466885272,"kpsM",NA
"3215_ccp",-1.89764338002235,"yhjA","b3518"
"4603_hypothetical_protein",2.42489564806533,NA,"b0026"
"7900_gspK",3.68790370318523,"gspK","b3332"
"7901_xcpW",3.15060272510166,"conserved hypothetical protein","b3331"
"7902_Bacterial_type_II_secretion_system_protein_I-J",3.97774984979747,"gspI","b3330"
"7903_epsH",4.89255203746881,"gspH2","b3329"
"7904_epsG",5.07025493850251,NA,"b3328"
"7905_epsF_1",4.81195836572099,"epsF","b3327"
"7906_epsE_1",3.66682478469523,"epsE","b3326"
"7907_pulD",4.75280373657803,"gspD","b3325"
"7908_epsC",5.0481204384626,"yghF","b3324"
"7909_hypothetical_protein",4.7275632562308,"yahE","b0319"
"7910_pppA",3.37273320408547,"pppA","b2972"
"7911_Procyclic_acidic_repetitive_protein_-PARP-",4.71489090182023,"yghJ","b4466"
